date,station,discharge_cusecs,as_of_time,ambiguous,source_title,source_url,quote
2025-09-03,Ferozepur Head Works,324000,during the day,False,"Flood situation turns grim in Punjab; Ravi, Beas and Satluj rivers in spate - The Tribune",https://www.tribuneindia.com/news/punjab/flood-situation-turns-grim-in-punjab-ravi-beas-and-satluj-rivers-in-spate/,3.24 lakh cusecs at Hussainiwala
2025-09-03,Ferozepur Head Works,302508,unspecified (upstream gauge),False,"High flood levels recorded at Harike and Hussainiwala Headworks, Villages on alert - Babushahi.com",https://www.babushahi.com/view-news.php?id=210079,"the upstream gauge was 646.50 feet with a discharge of 3,02,508 cusecs"
2025-09-03,Ferozepur Head Works,301918,unspecified (downstream gauge),False,"High flood levels recorded at Harike and Hussainiwala Headworks, Villages on alert - Babushahi.com",https://www.babushahi.com/view-news.php?id=210079,"downstream recorded 646.15 feet with 3,01,918 cusecs discharge"
2023-08-17,Harike Head Works,235000,unspecified,False,"Monsoon fury: 44K in 130 Punjab villages hit by flood, 9,000 shifted, Gurdaspur bears brunt - The Tribune",https://www.tribuneindia.com/news/punjab/monsoon-fury-44k-in-130-punjab-villages-hit-by-flood-9-000-shifted-gurdaspur-bears-brunt-535781,The Sutlej is brimming near Harike and Hussainiwala; the water flow at Harike was recorded at an unprecedented 2.35 lakh cusecs
2023-08-17,Harike Head Works,215000,unspecified,False,"Monsoon fury: 44K in 130 Punjab villages hit by flood, 9,000 shifted, Gurdaspur bears brunt - The Tribune",https://www.tribuneindia.com/news/punjab/monsoon-fury-44k-in-130-punjab-villages-hit-by-flood-9-000-shifted-gurdaspur-bears-brunt-535781,Around 2.15 lakh cusecs of water is also being released from Harike headworks towards Pakistan.
2023-08-18,Harike Head Works,284987,unspecified,False,"23 dead, 1,018 villages hit, 16K rescued as Punjab sees worst floods in decades - The Tribune",https://www.tribuneindia.com/news/punjab/monsoon-fury-22k-more-marooned-fazilka-ferozepur-tarn-taran-worst-hit-536063,"Outflow at the Harike headworks, from where the Sutlej flows into Pakistan, stood at 2,84,987 cusecs."
2023-08-20,Harike Head Works,169000,"unspecified (""yesterday"" per Aug-21 article)",False,"Rising dam water causes widespread flooding, loss assessment ordered - The Tribune",https://www.tribuneindia.com/news/punjab/rising-dam-water-causes-widespread-flooding-loss-assessment-ordered/,from 1.69 lakh cusecs to 1.60 lakh cusecs at Harike (Tarn Taran)
2023-08-21,Harike Head Works,160000,"unspecified (""today"")",False,"Rising dam water causes widespread flooding, loss assessment ordered - The Tribune",https://www.tribuneindia.com/news/punjab/rising-dam-water-causes-widespread-flooding-loss-assessment-ordered/,from 1.69 lakh cusecs to 1.60 lakh cusecs at Harike (Tarn Taran)
2023-08-23,Harike Head Works,142766,unspecified,False,"Pong, Bhakra levels up, Punjab put on high alert - The Tribune",https://www.tribuneindia.com/news/punjab/pong-bhakra-levels-up-punjab-put-on-high-alert-537778/,"The water level of the Sutlej continued to remain high at Harike at 1,42,766 cusecs and at Hussainiwala at 1,33,224 cusecs."
2025-08-21,Harike Head Works,94929,Thursday,False,"Rising dam water causes widespread flooding, loss assessment ordered - The Tribune",https://www.tribuneindia.com/news/punjab/rising-dam-water-causes-widespread-flooding-loss-assessment-ordered/,"the water flow at Harike, where the Beas and the Sutlej meet, reached 94,929 cusec"
2025-08-30,Harike Head Works,244000,AMBIGUOUS - evening (published 10:03pm IST),True,"Water discharge from Harike headworks reduced by 19,000 cusecs, says Punjab minister - ThePrint",https://theprint.in/india/water-discharge-from-harike-headworks-reduced-by-19000-cusecs-says-punjab-minister/2732572/,"The water discharge from Harike headworks has reduced by 19,000 cusecs, and currently 2,44,000 cusecs of water is being released, Khuddian said."
2025-09-03,Harike Head Works,330000,during the day,False,"Flood situation turns grim in Punjab; Ravi, Beas and Satluj rivers in spate - The Tribune",https://www.tribuneindia.com/news/punjab/flood-situation-turns-grim-in-punjab-ravi-beas-and-satluj-rivers-in-spate/,the water level at the Harike headworks was 3.30 lakh cusecs
2025-09-03,Harike Head Works,335030,unspecified (upstream gauge),False,"High flood levels recorded at Harike and Hussainiwala Headworks, Villages on alert - Babushahi.com",https://www.babushahi.com/view-news.php?id=210079,"the upstream gauge stood at 686.50 feet with a discharge of 3,35,030 cusecs"
2025-09-03,Harike Head Works,318159,unspecified (downstream gauge),False,"High flood levels recorded at Harike and Hussainiwala Headworks, Villages on alert - Babushahi.com",https://www.babushahi.com/view-news.php?id=210079,"downstream recorded 686.48 feet with 3,18,159 cusecs discharge"
