year,window_start,window_end,district,flooded_ha,flooded_fraction,antecedent_fraction,week_of_season,flood_event,punjab_mm,upstream_mm,punjab_mm_lag1,upstream_mm_lag1,punjab_mm_lag2,upstream_mm_lag2,district_mm,district_max1d,district_max3d,district_p90,district_mm_lag1,district_mm_lag2,api_start,district_first3d,district_first5d,bhakra_delta,pong_delta,ranjit_sagar_delta,bhakra_storage,pong_storage,ranjit_sagar_storage,core_season,prior_mean_annual_flooded_ha,prior_seasons_with_fraction_gt2pct,score,chosen_variant,chosen_C
2015,2015-09-03,2015-09-13,Barnala,0.0,0.0,0.0,8,0,2.674,5.816,8.06,11.591,42.57,48.941,0.0,0.0,0.0,0.0,0.056,40.273,12.715,0.0,0.0,-0.014,-0.1608,-0.3,5.8661,5.6106,1.5103,True,16211.903,9,0.018528492928400603,nested_district_rain,0.01
2015,2015-09-13,2015-09-23,Barnala,0.0,0.0,0.0,9,0,32.271,23.052,2.674,5.816,8.06,11.591,66.029,61.494,66.017,9.8,0.0,0.056,4.434,0.0,0.012,-0.012,-0.2526,-0.146,5.8255,5.3612,1.2458,True,16211.903,9,0.029969616229292863,nested_district_rain,0.01
2015,2015-09-23,2015-09-30,Barnala,0.0,0.0,0.0,10,0,49.573,51.049,30.469,20.978,1.802,2.074,12.879,12.875,12.875,5.152,66.029,0.0,61.331,12.875,12.875,0.075,0.0662,0.127,5.8914,5.3177,1.3278,True,16211.903,9,0.041981954956673825,nested_district_rain,0.01
2015,2015-07-25,2015-08-04,Bathinda,0.0,0.0,2.4e-05,4,0,60.969,86.411,78.373,91.986,102.005,102.546,25.114,11.77,15.725,6.055,32.39,66.216,41.835,6.488,6.488,0.411,0.6512,0.0,4.4471,3.9999,1.969,True,12504.237000000001,5,0.1724274227016972,nested_district_rain,0.01
2015,2015-08-04,2015-08-14,Bathinda,0.0,0.0,0.0,5,0,85.141,93.815,60.969,86.411,78.373,91.986,29.937,13.83,22.738,7.246,25.114,32.39,33.791,22.738,23.087,0.589,0.9585,0.039,4.9802,4.8784,2.0348,True,12504.237000000001,5,0.1825806618112077,nested_district_rain,0.01
2015,2015-08-14,2015-08-24,Bathinda,0.0,0.0,0.0,6,0,42.57,48.941,85.141,93.815,60.969,86.411,8.447,4.46,4.477,2.155,29.937,25.114,28.249,3.67,3.783,0.303,0.3152,-0.159,5.4844,5.4821,2.0066,True,12504.237000000001,5,0.067746462956067,nested_district_rain,0.01
2015,2015-08-24,2015-09-03,Bathinda,0.0,0.0,0.0,7,0,8.06,11.591,42.57,48.941,85.141,93.815,0.096,0.096,0.096,0.01,8.447,29.937,15.587,0.096,0.096,0.198,0.0233,-0.19,5.742,5.6849,1.7892,True,12504.237000000001,5,0.023404215133422578,nested_district_rain,0.01
2015,2015-09-03,2015-09-13,Bathinda,0.0,0.0,0.0,8,0,2.674,5.816,8.06,11.591,42.57,48.941,0.0,0.0,0.0,0.0,0.096,8.447,5.472,0.0,0.0,-0.014,-0.1608,-0.3,5.8661,5.6106,1.5103,True,12504.237000000001,5,0.008464851377028626,nested_district_rain,0.01
2015,2015-09-13,2015-09-23,Bathinda,0.0,0.0,0.0,9,0,32.271,23.052,2.674,5.816,8.06,11.591,52.176,41.732,52.176,13.178,0.0,0.096,1.908,0.0,0.0,-0.012,-0.2526,-0.146,5.8255,5.3612,1.2458,True,12504.237000000001,5,0.011502817577726239,nested_district_rain,0.01
2015,2015-09-23,2015-09-30,Bathinda,0.0,0.0,0.0,10,0,49.573,51.049,30.469,20.978,1.802,2.074,6.797,6.517,6.52,2.773,52.176,0.0,48.585,6.52,6.797,0.075,0.0662,0.127,5.8914,5.3177,1.3278,True,12504.237000000001,5,0.01771667373923831,nested_district_rain,0.01
2015,2015-07-25,2015-08-04,Faridkot,0.0,0.0,9.2e-05,4,0,60.969,86.411,78.373,91.986,102.005,102.546,34.535,10.165,16.444,8.369,22.228,53.17,28.841,15.616,15.616,0.411,0.6512,0.0,4.4471,3.9999,1.969,True,11372.440999999999,6,0.21108584697964974,nested_district_rain,0.01
2015,2015-08-04,2015-08-14,Faridkot,0.0,0.0,0.0,5,0,85.141,93.815,60.969,86.411,78.373,91.986,18.24,7.811,9.296,6.289,34.535,22.228,33.418,7.653,7.692,0.589,0.9585,0.039,4.9802,4.8784,2.0348,True,11372.440999999999,6,0.2061019319713227,nested_district_rain,0.01
2015,2015-08-14,2015-08-24,Faridkot,52.41,0.00036,0.0,6,0,42.57,48.941,85.141,93.815,60.969,86.411,25.359,13.707,13.993,11.584,18.24,34.535,24.253,13.993,14.003,0.303,0.3152,-0.159,5.4844,5.4821,2.0066,True,11372.440999999999,6,0.08801518141515054,nested_district_rain,0.01
2015,2015-08-24,2015-09-03,Faridkot,0.0,0.0,0.00036,7,0,8.06,11.591,42.57,48.941,85.141,93.815,1.377,1.377,1.377,0.138,25.359,18.24,25.347,1.377,1.377,0.198,0.0233,-0.19,5.742,5.6849,1.7892,True,11372.440999999999,6,0.031754275245460345,nested_district_rain,0.01
2015,2015-09-03,2015-09-13,Faridkot,2.22,1.5e-05,0.0,8,0,2.674,5.816,8.06,11.591,42.57,48.941,0.0,0.0,0.0,0.0,1.377,25.359,9.372,0.0,0.0,-0.014,-0.1608,-0.3,5.8661,5.6106,1.5103,True,11372.440999999999,6,0.010103646662920638,nested_district_rain,0.01
2015,2015-09-13,2015-09-23,Faridkot,0.0,0.0,1.5e-05,9,0,32.271,23.052,2.674,5.816,8.06,11.591,32.405,19.547,32.405,9.958,0.0,1.377,3.268,0.0,0.0,-0.012,-0.2526,-0.146,5.8255,5.3612,1.2458,True,11372.440999999999,6,0.012118208930605676,nested_district_rain,0.01
2015,2015-09-23,2015-09-30,Faridkot,0.0,0.0,0.0,10,0,49.573,51.049,30.469,20.978,1.802,2.074,15.706,15.536,15.559,6.274,32.405,0.0,30.836,15.559,15.659,0.075,0.0662,0.127,5.8914,5.3177,1.3278,True,11372.440999999999,6,0.022737456053319297,nested_district_rain,0.01
2015,2015-07-25,2015-08-04,Fatehgarh Sahib,0.0,0.0,6e-06,4,0,60.969,86.411,78.373,91.986,102.005,102.546,17.468,7.992,9.954,6.114,70.283,166.267,83.32,9.954,10.209,0.411,0.6512,0.0,4.4471,3.9999,1.969,True,17640.565,8,0.24432402865517241,nested_district_rain,0.01
2015,2015-08-04,2015-08-14,Fatehgarh Sahib,0.0,0.0,0.0,5,0,85.141,93.815,60.969,86.411,78.373,91.986,88.541,36.711,43.974,18.479,17.468,70.283,39.837,7.716,28.114,0.589,0.9585,0.039,4.9802,4.8784,2.0348,True,17640.565,8,0.3500262122164159,nested_district_rain,0.01
2015,2015-08-14,2015-08-24,Fatehgarh Sahib,3.71,3.2e-05,0.0,6,0,42.57,48.941,85.141,93.815,60.969,86.411,67.326,42.447,59.471,18.111,88.541,17.468,78.002,3.482,5.694,0.303,0.3152,-0.159,5.4844,5.4821,2.0066,True,17640.565,8,0.16377051377729648,nested_district_rain,0.01
2015,2015-08-24,2015-09-03,Fatehgarh Sahib,0.0,0.0,3.2e-05,7,0,8.06,11.591,42.57,48.941,85.141,93.815,3.495,3.495,3.495,0.349,67.326,88.541,83.281,0.0,0.0,0.198,0.0233,-0.19,5.742,5.6849,1.7892,True,17640.565,8,0.042927906621657484,nested_district_rain,0.01
2015,2015-09-03,2015-09-13,Fatehgarh Sahib,0.0,0.0,0.0,8,0,2.674,5.816,8.06,11.591,42.57,48.941,0.031,0.031,0.031,0.003,3.495,67.326,32.533,0.031,0.031,-0.014,-0.1608,-0.3,5.8661,5.6106,1.5103,True,17640.565,8,0.015129171289627178,nested_district_rain,0.01
2015,2015-09-13,2015-09-23,Fatehgarh Sahib,0.0,0.0,0.0,9,0,32.271,23.052,2.674,5.816,8.06,11.591,39.574,32.619,37.515,7.577,0.031,3.495,11.356,0.0,2.059,-0.012,-0.2526,-0.146,5.8255,5.3612,1.2458,True,17640.565,8,0.020455575053868514,nested_district_rain,0.01
2015,2015-09-23,2015-09-30,Fatehgarh Sahib,0.0,0.0,0.0,10,0,49.573,51.049,30.469,20.978,1.802,2.074,53.153,53.153,53.153,21.261,39.574,0.0,38.414,53.153,53.153,0.075,0.0662,0.127,5.8914,5.3177,1.3278,True,17640.565,8,0.04481504019950122,nested_district_rain,0.01
2015,2015-07-25,2015-08-04,Firozpur,0.0,0.0,0.000572,4,0,60.969,86.411,78.373,91.986,102.005,102.546,25.815,9.203,16.646,6.291,14.495,32.715,18.173,7.997,8.016,0.411,0.6512,0.0,4.4471,3.9999,1.969,True,75166.843,9,0.39691538534811815,nested_district_rain,0.01
2015,2015-08-04,2015-08-14,Firozpur,298.67,0.000572,0.0,5,0,85.141,93.815,60.969,86.411,78.373,91.986,6.688,2.476,4.289,1.373,25.815,14.495,25.784,4.289,4.406,0.589,0.9585,0.039,4.9802,4.8784,2.0348,True,75166.843,9,0.3547600329896338,nested_district_rain,0.01
2015,2015-08-14,2015-08-24,Firozpur,2761.24,0.005288,0.000572,6,0,42.57,48.941,85.141,93.815,60.969,86.411,7.346,3.928,4.381,2.886,6.688,25.815,12.679,4.381,4.406,0.303,0.3152,-0.159,5.4844,5.4821,2.0066,True,75166.843,9,0.1832324410654923,nested_district_rain,0.01
2015,2015-08-24,2015-09-03,Firozpur,19.98,3.8e-05,0.005288,7,0,8.06,11.591,42.57,48.941,85.141,93.815,2.314,2.314,2.314,0.231,7.346,6.688,9.114,2.314,2.314,0.198,0.0233,-0.19,5.742,5.6849,1.7892,True,75166.843,9,0.18984328845293102,nested_district_rain,0.01
2015,2015-09-03,2015-09-13,Firozpur,13.98,2.7e-05,3.8e-05,8,0,2.674,5.816,8.06,11.591,42.57,48.941,0.0,0.0,0.0,0.0,2.314,7.346,4.074,0.0,0.0,-0.014,-0.1608,-0.3,5.8661,5.6106,1.5103,True,75166.843,9,0.022770185328632446,nested_district_rain,0.01
2015,2015-09-13,2015-09-23,Firozpur,0.0,0.0,2.7e-05,9,0,32.271,23.052,2.674,5.816,8.06,11.591,22.435,11.733,22.177,8.436,0.0,2.314,1.421,0.0,0.258,-0.012,-0.2526,-0.146,5.8255,5.3612,1.2458,True,75166.843,9,0.024909249832213095,nested_district_rain,0.01
2015,2015-09-23,2015-09-30,Firozpur,216.95,0.000416,0.0,10,0,49.573,51.049,30.469,20.978,1.802,2.074,14.118,12.762,13.613,5.615,22.435,0.0,21.201,13.613,13.972,0.075,0.0662,0.127,5.8914,5.3177,1.3278,True,75166.843,9,0.04801604365746692,nested_district_rain,0.01
2015,2015-07-25,2015-08-04,Gurdaspur,0.0,0.0,0.000355,4,0,60.969,86.411,78.373,91.986,102.005,102.546,62.399,16.981,32.164,13.643,101.997,93.768,84.634,26.9,45.673,0.411,0.6512,0.0,4.4471,3.9999,1.969,True,21916.792999999998,5,0.19778828855319158,nested_district_rain,0.01
2015,2015-08-04,2015-08-14,Gurdaspur,104.02,0.000287,0.0,5,0,85.141,93.815,60.969,86.411,78.373,91.986,166.858,74.142,107.408,26.258,62.399,101.997,65.18,33.915,67.181,0.589,0.9585,0.039,4.9802,4.8784,2.0348,True,21916.792999999998,5,0.28431751694544444,nested_district_rain,0.01
2015,2015-08-14,2015-08-24,Gurdaspur,260.33,0.000717,0.000287,6,0,42.57,48.941,85.141,93.815,60.969,86.411,39.792,12.484,18.193,7.718,166.858,62.399,126.924,18.193,18.975,0.303,0.3152,-0.159,5.4844,5.4821,2.0066,True,21916.792999999998,5,0.07888942143140486,nested_district_rain,0.01
2015,2015-08-24,2015-09-03,Gurdaspur,90.37,0.000249,0.000717,7,0,8.06,11.591,42.57,48.941,85.141,93.815,15.643,8.478,8.514,5.512,39.792,166.858,69.162,5.216,13.694,0.198,0.0233,-0.19,5.742,5.6849,1.7892,True,21916.792999999998,5,0.025818388705263113,nested_district_rain,0.01
2015,2015-09-03,2015-09-13,Gurdaspur,43.06,0.000119,0.000249,8,0,2.674,5.816,8.06,11.591,42.57,48.941,2.992,2.933,2.95,0.315,15.643,39.792,32.727,2.95,2.992,-0.014,-0.1608,-0.3,5.8661,5.6106,1.5103,True,21916.792999999998,5,0.009264918629652839,nested_district_rain,0.01
2015,2015-09-13,2015-09-23,Gurdaspur,0.0,0.0,0.000119,9,0,32.271,23.052,2.674,5.816,8.06,11.591,39.468,37.779,37.793,5.054,2.992,15.643,12.578,0.257,1.675,-0.012,-0.2526,-0.146,5.8255,5.3612,1.2458,True,21916.792999999998,5,0.011595775873700361,nested_district_rain,0.01
2015,2015-09-23,2015-09-30,Gurdaspur,116.33,0.00032,0.0,10,0,49.573,51.049,30.469,20.978,1.802,2.074,143.476,142.278,143.373,57.568,39.211,0.257,43.127,143.373,143.476,0.075,0.0662,0.127,5.8914,5.3177,1.3278,True,21916.792999999998,5,0.046388372705229164,nested_district_rain,0.01
2015,2015-07-25,2015-08-04,Hoshiarpur,0.0,0.0,9e-06,4,0,60.969,86.411,78.373,91.986,102.005,102.546,64.022,24.099,43.383,17.46,114.127,149.352,98.436,23.028,47.783,0.411,0.6512,0.0,4.4471,3.9999,1.969,True,6717.378,2,0.0988354875973304,nested_district_rain,0.01
2015,2015-08-04,2015-08-14,Hoshiarpur,2.17,6e-06,0.0,5,0,85.141,93.815,60.969,86.411,78.373,91.986,140.682,50.505,109.158,32.096,64.022,114.127,71.033,2.148,60.801,0.589,0.9585,0.039,4.9802,4.8784,2.0348,True,6717.378,2,0.1398514213306875,nested_district_rain,0.01
2015,2015-08-14,2015-08-24,Hoshiarpur,39.81,0.000118,6e-06,6,0,42.57,48.941,85.141,93.815,60.969,86.411,65.221,19.479,40.344,17.392,140.682,64.022,115.113,19.117,20.782,0.303,0.3152,-0.159,5.4844,5.4821,2.0066,True,6717.378,2,0.04387358428375881,nested_district_rain,0.01
2015,2015-08-24,2015-09-03,Hoshiarpur,6.51,1.9e-05,0.000118,7,0,8.06,11.591,42.57,48.941,85.141,93.815,2.972,1.509,1.509,1.233,65.221,140.682,86.364,1.367,2.876,0.198,0.0233,-0.19,5.742,5.6849,1.7892,True,6717.378,2,0.011543732207208073,nested_district_rain,0.01
2015,2015-09-03,2015-09-13,Hoshiarpur,2.9,9e-06,1.9e-05,8,0,2.674,5.816,8.06,11.591,42.57,48.941,0.884,0.773,0.83,0.129,2.972,65.221,31.664,0.109,0.884,-0.014,-0.1608,-0.3,5.8661,5.6106,1.5103,True,6717.378,2,0.004360750337884365,nested_district_rain,0.01
2015,2015-09-13,2015-09-23,Hoshiarpur,0.0,0.0,9e-06,9,0,32.271,23.052,2.674,5.816,8.06,11.591,8.626,3.12,6.354,2.332,0.884,2.972,11.497,0.0,2.259,-0.012,-0.2526,-0.146,5.8255,5.3612,1.2458,True,6717.378,2,0.004726717643018512,nested_district_rain,0.01
2015,2015-09-23,2015-09-30,Hoshiarpur,2.9,9e-06,0.0,10,0,49.573,51.049,30.469,20.978,1.802,2.074,105.85,103.839,105.75,42.682,8.626,0.0,11.239,105.75,105.85,0.075,0.0662,0.127,5.8914,5.3177,1.3278,True,6717.378,2,0.018291229773948786,nested_district_rain,0.01
2015,2015-07-25,2015-08-04,Jalandhar,0.0,0.0,0.000323,4,0,60.969,86.411,78.373,91.986,102.005,102.546,22.974,8.179,14.457,6.468,52.871,87.142,54.523,14.457,14.714,0.411,0.6512,0.0,4.4471,3.9999,1.969,True,23392.328,7,0.24515631614653446,nested_district_rain,0.01
2015,2015-08-04,2015-08-14,Jalandhar,104.86,0.000401,0.0,5,0,85.141,93.815,60.969,86.411,78.373,91.986,33.379,11.442,29.518,11.427,22.974,52.871,33.02,0.1,18.193,0.589,0.9585,0.039,4.9802,4.8784,2.0348,True,23392.328,7,0.24860761888260144,nested_district_rain,0.01
2015,2015-08-14,2015-08-24,Jalandhar,77.03,0.000295,0.000401,6,0,42.57,48.941,85.141,93.815,60.969,86.411,51.662,27.201,31.941,12.729,33.379,22.974,32.43,13.298,19.65,0.303,0.3152,-0.159,5.4844,5.4821,2.0066,True,23392.328,7,0.13578225144010306,nested_district_rain,0.01
2015,2015-08-24,2015-09-03,Jalandhar,11.02,4.2e-05,0.000295,7,0,8.06,11.591,42.57,48.941,85.141,93.815,2.266,1.411,1.411,0.846,51.662,33.379,49.355,1.411,1.483,0.198,0.0233,-0.19,5.742,5.6849,1.7892,True,23392.328,7,0.039063037901654614,nested_district_rain,0.01
2015,2015-09-03,2015-09-13,Jalandhar,14.7,5.6e-05,4.2e-05,8,0,2.674,5.816,8.06,11.591,42.57,48.941,0.015,0.015,0.015,0.001,2.266,51.662,18.581,0.015,0.015,-0.014,-0.1608,-0.3,5.8661,5.6106,1.5103,True,23392.328,7,0.012593352934633142,nested_district_rain,0.01
2015,2015-09-13,2015-09-23,Jalandhar,0.0,0.0,5.6e-05,9,0,32.271,23.052,2.674,5.816,8.06,11.591,20.252,7.9,16.31,5.649,0.015,2.266,6.485,0.0,3.942,-0.012,-0.2526,-0.146,5.8255,5.3612,1.2458,True,23392.328,7,0.014456533853129222,nested_district_rain,0.01
2015,2015-09-23,2015-09-30,Jalandhar,7.35,2.8e-05,0.0,10,0,49.573,51.049,30.469,20.978,1.802,2.074,63.729,63.261,63.28,25.574,20.252,0.0,19.082,63.28,63.28,0.075,0.0662,0.127,5.8914,5.3177,1.3278,True,23392.328,7,0.03941645090931436,nested_district_rain,0.01
2015,2015-07-25,2015-08-04,Kapurthala,0.0,0.0,0.000105,4,0,60.969,86.411,78.373,91.986,102.005,102.546,34.576,18.862,24.783,7.473,61.834,69.659,54.045,24.783,25.597,0.411,0.6512,0.0,4.4471,3.9999,1.969,True,33251.15699999999,9,0.3455654717686219,nested_district_rain,0.01
2015,2015-08-04,2015-08-14,Kapurthala,388.7,0.002333,0.0,5,0,85.141,93.815,60.969,86.411,78.373,91.986,31.464,11.861,26.621,10.816,34.576,61.834,38.386,0.047,15.968,0.589,0.9585,0.039,4.9802,4.8784,2.0348,True,33251.15699999999,9,0.3338898621294082,nested_district_rain,0.01
2015,2015-08-14,2015-08-24,Kapurthala,1606.24,0.009639,0.002333,6,0,42.57,48.941,85.141,93.815,60.969,86.411,37.511,17.444,18.462,10.474,31.464,34.576,33.203,12.82,18.992,0.303,0.3152,-0.159,5.4844,5.4821,2.0066,True,33251.15699999999,9,0.25789071900824195,nested_district_rain,0.01
2015,2015-08-24,2015-09-03,Kapurthala,32.11,0.000193,0.009639,7,0,8.06,11.591,42.57,48.941,85.141,93.815,0.334,0.289,0.289,0.069,37.511,31.464,37.631,0.045,0.045,0.198,0.0233,-0.19,5.742,5.6849,1.7892,True,33251.15699999999,9,0.35551611440999764,nested_district_rain,0.01
2015,2015-09-03,2015-09-13,Kapurthala,20.41,0.000123,0.000193,8,0,2.674,5.816,8.06,11.591,42.57,48.941,0.0,0.0,0.0,0.0,0.334,37.511,13.427,0.0,0.0,-0.014,-0.1608,-0.3,5.8661,5.6106,1.5103,True,33251.15699999999,9,0.02043313533243804,nested_district_rain,0.01
2015,2015-09-13,2015-09-23,Kapurthala,0.0,0.0,0.000123,9,0,32.271,23.052,2.674,5.816,8.06,11.591,26.966,11.042,17.071,10.01,0.0,0.334,4.682,0.0,9.895,-0.012,-0.2526,-0.146,5.8255,5.3612,1.2458,True,33251.15699999999,9,0.023392377145063734,nested_district_rain,0.01
2015,2015-09-23,2015-09-30,Kapurthala,52.58,0.000316,0.0,10,0,49.573,51.049,30.469,20.978,1.802,2.074,59.141,59.139,59.141,23.657,26.966,0.0,23.627,59.141,59.141,0.075,0.0662,0.127,5.8914,5.3177,1.3278,True,33251.15699999999,9,0.05819847559790669,nested_district_rain,0.01
2015,2015-07-25,2015-08-04,Ludhiana,0.0,0.0,0.000149,4,0,60.969,86.411,78.373,91.986,102.005,102.546,10.48,4.871,5.511,3.105,59.236,170.179,80.377,5.511,5.579,0.411,0.6512,0.0,4.4471,3.9999,1.969,True,43330.862,8,0.2590706637650686,nested_district_rain,0.01
2015,2015-08-04,2015-08-14,Ludhiana,52.19,0.000145,0.0,5,0,85.141,93.815,60.969,86.411,78.373,91.986,57.435,11.759,33.666,11.194,10.48,59.236,34.74,0.638,22.44,0.589,0.9585,0.039,4.9802,4.8784,2.0348,True,43330.862,8,0.3217245143303026,nested_district_rain,0.01
2015,2015-08-14,2015-08-24,Ludhiana,27.2,7.6e-05,0.000145,6,0,42.57,48.941,85.141,93.815,60.969,86.411,57.072,31.57,44.053,10.84,57.435,10.48,51.326,9.938,12.29,0.303,0.3152,-0.159,5.4844,5.4821,2.0066,True,43330.862,8,0.16921427988802454,nested_district_rain,0.01
2015,2015-08-24,2015-09-03,Ludhiana,0.0,0.0,7.6e-05,7,0,8.06,11.591,42.57,48.941,85.141,93.815,3.675,2.416,2.508,1.193,57.072,57.435,62.031,2.508,2.618,0.198,0.0233,-0.19,5.742,5.6849,1.7892,True,43330.862,8,0.04720553656030075,nested_district_rain,0.01
2015,2015-09-03,2015-09-13,Ludhiana,0.0,0.0,0.0,8,0,2.674,5.816,8.06,11.591,42.57,48.941,0.26,0.26,0.26,0.026,3.675,57.072,23.726,0.26,0.26,-0.014,-0.1608,-0.3,5.8661,5.6106,1.5103,True,43330.862,8,0.016197146536385935,nested_district_rain,0.01
2015,2015-09-13,2015-09-23,Ludhiana,0.0,0.0,0.0,9,0,32.271,23.052,2.674,5.816,8.06,11.591,41.184,24.632,35.097,11.069,0.26,3.675,8.374,0.0,6.087,-0.012,-0.2526,-0.146,5.8255,5.3612,1.2458,True,43330.862,8,0.021041456041522334,nested_district_rain,0.01
2015,2015-09-23,2015-09-30,Ludhiana,0.0,0.0,0.0,10,0,49.573,51.049,30.469,20.978,1.802,2.074,40.33,39.47,39.535,16.265,41.184,0.0,37.332,39.535,39.535,0.075,0.0662,0.127,5.8914,5.3177,1.3278,True,43330.862,8,0.04366158649856839,nested_district_rain,0.01
2015,2015-07-25,2015-08-04,Mansa,0.0,0.0,5.4e-05,4,0,60.969,86.411,78.373,91.986,102.005,102.546,3.41,1.873,2.756,0.755,16.046,56.06,26.977,0.265,0.265,0.411,0.6512,0.0,4.4471,3.9999,1.969,True,10605.395999999999,5,0.1592560038539291,nested_district_rain,0.01
2015,2015-08-04,2015-08-14,Mansa,3.76,1.7e-05,0.0,5,0,85.141,93.815,60.969,86.411,78.373,91.986,10.437,5.648,6.009,3.859,3.41,16.046,12.437,6.009,6.777,0.589,0.9585,0.039,4.9802,4.8784,2.0348,True,10605.395999999999,5,0.1712914460315745,nested_district_rain,0.01
2015,2015-08-14,2015-08-24,Mansa,17.28,7.8e-05,1.7e-05,6,0,42.57,48.941,85.141,93.815,60.969,86.411,5.672,3.137,3.897,0.998,10.437,3.41,10.413,0.941,1.016,0.303,0.3152,-0.159,5.4844,5.4821,2.0066,True,10605.395999999999,5,0.06858633786513375,nested_district_rain,0.01
2015,2015-08-24,2015-09-03,Mansa,3.01,1.4e-05,7.8e-05,7,0,8.06,11.591,42.57,48.941,85.141,93.815,0.006,0.006,0.006,0.001,5.672,10.437,8.15,0.006,0.006,0.198,0.0233,-0.19,5.742,5.6849,1.7892,True,10605.395999999999,5,0.024208660662021,nested_district_rain,0.01
2015,2015-09-03,2015-09-13,Mansa,16.53,7.5e-05,1.4e-05,8,0,2.674,5.816,8.06,11.591,42.57,48.941,0.0,0.0,0.0,0.0,0.006,5.672,2.844,0.0,0.0,-0.014,-0.1608,-0.3,5.8661,5.6106,1.5103,True,10605.395999999999,5,0.008433217942491852,nested_district_rain,0.01
2015,2015-09-13,2015-09-23,Mansa,0.0,0.0,7.5e-05,9,0,32.271,23.052,2.674,5.816,8.06,11.591,20.886,17.72,20.866,4.033,0.0,0.006,0.992,0.0,0.0,-0.012,-0.2526,-0.146,5.8255,5.3612,1.2458,True,10605.395999999999,5,0.009670759428691523,nested_district_rain,0.01
