date,dam,level_ft,inflow_cusecs,outflow_cusecs,as_of_time,source_title,source_url,published,quote
2026-06-24,Bhakra,1562.82,18715,32650,06:00,BBMB Reservoir Data res_data.pdf (archived capture),https://web.archive.org/web/20260624112829/https://bbmb.gov.in/writereaddata/Portal/images/pdf/res_data.pdf,2026-06-24,"as on 24-06-2026 06:00 Hrs; Bhakra 1562.82 18715 32650"
2026-06-24,Pong,1320.89,3527,11002,06:00,BBMB Reservoir Data res_data.pdf (archived capture),https://web.archive.org/web/20260624112829/https://bbmb.gov.in/writereaddata/Portal/images/pdf/res_data.pdf,2026-06-24,"as on 24-06-2026 06:00 Hrs; Pong 1320.89 3527 11002"
2026-07-26,Bhakra,1592.91,40363,26132,06:00,BBMB Reservoir Data res_data.pdf (archived capture),https://web.archive.org/web/20260726092845/https://bbmb.gov.in/writereaddata/Portal/images/pdf/res_data.pdf,2026-07-26,"as on 26-07-2026 06:00 Hrs; Bhakra 1592.91 40363 26132"
2026-07-26,Pong,1329.86,37172,10007,06:00,BBMB Reservoir Data res_data.pdf (archived capture),https://web.archive.org/web/20260726092845/https://bbmb.gov.in/writereaddata/Portal/images/pdf/res_data.pdf,2026-07-26,"as on 26-07-2026 06:00 Hrs; Pong 1329.86 37172 10007"
2026-08-08,Bhakra,1611.76,41501,25067,18:00,BBMB Reservoir Data res_data.pdf (archived capture),https://web.archive.org/web/20260809052401/https://bbmb.gov.in/writereaddata/Portal/images/pdf/res_data.pdf,2026-08-08,"as on 08-08-2026 18:00 Hrs; Bhakra 1611.76 41501 25067"
2026-08-08,Pong,1347.32,48054,14005,18:00,BBMB Reservoir Data res_data.pdf (archived capture),https://web.archive.org/web/20260809052401/https://bbmb.gov.in/writereaddata/Portal/images/pdf/res_data.pdf,2026-08-08,"as on 08-08-2026 18:00 Hrs; Pong 1347.32 48054 14005"
2026-08-09,Bhakra,1612.78,40137,25933,18:00,BBMB Reservoir Data res_data.pdf (archived capture),https://web.archive.org/web/20260810021028/https://bbmb.gov.in/writereaddata/Portal/images/pdf/res_data.pdf,2026-08-09,"as on 09-08-2026 18:00 Hrs; Bhakra 1612.78 40137 25933"
2026-08-09,Pong,1348.17,34263,15591,18:00,BBMB Reservoir Data res_data.pdf (archived capture),https://web.archive.org/web/20260810021028/https://bbmb.gov.in/writereaddata/Portal/images/pdf/res_data.pdf,2026-08-09,"as on 09-08-2026 18:00 Hrs; Pong 1348.17 34263 15591"
2026-09-04,Bhakra,1641.20,42701,23983,18:00,BBMB Reservoir Data res_data.pdf (direct capture),https://bbmb.gov.in/writereaddata/Portal/images/pdf/res_data.pdf,2026-09-04,"as on 04-09-2026 18:00 Hrs; Bhakra 1641.20 42701 23983"
2026-09-04,Pong,1371.16,20102,9150,18:00,BBMB Reservoir Data res_data.pdf (direct capture),https://bbmb.gov.in/writereaddata/Portal/images/pdf/res_data.pdf,2026-09-04,"as on 04-09-2026 18:00 Hrs; Pong 1371.16 20102 9150"
2026-09-05,Bhakra,1641.48,41628,25050,06:00,BBMB Reservoir Data res_data.pdf (direct capture),https://bbmb.gov.in/writereaddata/Portal/images/pdf/res_data.pdf,2026-09-05,"as on 05-09-2026 06:00 Hrs; Bhakra 1641.48 41628 25050"
2026-09-05,Pong,1371.42,22870,10002,06:00,BBMB Reservoir Data res_data.pdf (direct capture),https://bbmb.gov.in/writereaddata/Portal/images/pdf/res_data.pdf,2026-09-05,"as on 05-09-2026 06:00 Hrs; Pong 1371.42 22870 10002"
2026-09-17,Bhakra,1644.65,28368,27119,06:00,BBMB Reservoir Data res_data.pdf (direct capture),https://bbmb.gov.in/writereaddata/Portal/images/pdf/res_data.pdf,2026-09-17,"as on 17-09-2026 06:00 Hrs; Bhakra 1644.65 28368 27119"
2026-09-17,Pong,1371.98,11509,17532,06:00,BBMB Reservoir Data res_data.pdf (direct capture),https://bbmb.gov.in/writereaddata/Portal/images/pdf/res_data.pdf,2026-09-17,"as on 17-09-2026 06:00 Hrs; Pong 1371.98 11509 17532"
2023-06-08,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2023-06-08,reading_date 2023-06-08 volume_mcm 1523 fill_percentage 24 source_org CWC
2023-06-15,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2023-06-15,reading_date 2023-06-15 volume_mcm 1664 fill_percentage 27 source_org CWC
2023-06-22,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2023-06-22,reading_date 2023-06-22 volume_mcm 1776 fill_percentage 29 source_org CWC
2023-06-30,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2023-06-30,reading_date 2023-06-30 volume_mcm 2123 fill_percentage 34 source_org CWC
2023-07-06,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2023-07-06,reading_date 2023-07-06 volume_mcm 2409 fill_percentage 39 source_org CWC
2023-07-13,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2023-07-13,reading_date 2023-07-13 volume_mcm 3487 fill_percentage 56 source_org CWC
2023-07-20,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2023-07-20,reading_date 2023-07-20 volume_mcm 4185 fill_percentage 67 source_org CWC
2023-07-27,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2023-07-27,reading_date 2023-07-27 volume_mcm 4593 fill_percentage 74 source_org CWC
2023-08-03,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2023-08-03,reading_date 2023-08-03 volume_mcm 4873 fill_percentage 78 source_org CWC
2023-08-10,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2023-08-10,reading_date 2023-08-10 volume_mcm 5043 fill_percentage 81 source_org CWC
2023-08-17,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2023-08-17,reading_date 2023-08-17 volume_mcm 5486 fill_percentage 88 source_org CWC
2023-08-24,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2023-08-24,reading_date 2023-08-24 volume_mcm 5374 fill_percentage 86 source_org CWC
2023-08-31,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2023-08-31,reading_date 2023-08-31 volume_mcm 5306 fill_percentage 85 source_org CWC
2023-09-06,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2023-09-06,reading_date 2023-09-06 volume_mcm 5316 fill_percentage 85 source_org CWC
2023-09-14,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2023-09-14,reading_date 2023-09-14 volume_mcm 5360 fill_percentage 86 source_org CWC
2023-09-21,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2023-09-21,reading_date 2023-09-21 volume_mcm 5397 fill_percentage 87 source_org CWC
2023-09-29,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2023-09-29,reading_date 2023-09-29 volume_mcm 5351 fill_percentage 86 source_org CWC
2023-10-05,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2023-10-05,reading_date 2023-10-05 volume_mcm 5222 fill_percentage 84 source_org CWC
2023-10-12,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2023-10-12,reading_date 2023-10-12 volume_mcm 5060 fill_percentage 81 source_org CWC
2023-10-19,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2023-10-19,reading_date 2023-10-19 volume_mcm 4932 fill_percentage 79 source_org CWC
2023-10-26,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2023-10-26,reading_date 2023-10-26 volume_mcm 4823 fill_percentage 77 source_org CWC
2023-11-09,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2023-11-09,reading_date 2023-11-09 volume_mcm 4624 fill_percentage 74 source_org CWC
2023-11-16,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2023-11-16,reading_date 2023-11-16 volume_mcm 4516 fill_percentage 72 source_org CWC
2023-11-23,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2023-11-23,reading_date 2023-11-23 volume_mcm 4293 fill_percentage 69 source_org CWC
2023-11-30,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2023-11-30,reading_date 2023-11-30 volume_mcm 4193 fill_percentage 67 source_org CWC
2023-12-07,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2023-12-07,reading_date 2023-12-07 volume_mcm 4101 fill_percentage 66 source_org CWC
2023-12-14,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2023-12-14,reading_date 2023-12-14 volume_mcm 3919 fill_percentage 63 source_org CWC
2023-12-21,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2023-12-21,reading_date 2023-12-21 volume_mcm 3736 fill_percentage 60 source_org CWC
2023-12-28,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2023-12-28,reading_date 2023-12-28 volume_mcm 3562 fill_percentage 57 source_org CWC
2024-01-04,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-01-04,reading_date 2024-01-04 volume_mcm 3409 fill_percentage 55 source_org CWC
2024-01-11,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-01-11,reading_date 2024-01-11 volume_mcm 3273 fill_percentage 53 source_org CWC
2024-01-18,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-01-18,reading_date 2024-01-18 volume_mcm 3115 fill_percentage 50 source_org CWC
2024-01-25,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-01-25,reading_date 2024-01-25 volume_mcm 2937 fill_percentage 47 source_org CWC
2024-02-01,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-02-01,reading_date 2024-02-01 volume_mcm 2769 fill_percentage 44 source_org CWC
2024-02-08,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-02-08,reading_date 2024-02-08 volume_mcm 2661 fill_percentage 43 source_org CWC
2024-02-15,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-02-15,reading_date 2024-02-15 volume_mcm 2498 fill_percentage 40 source_org CWC
2024-02-22,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-02-22,reading_date 2024-02-22 volume_mcm 2314 fill_percentage 37 source_org CWC
2024-02-29,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-02-29,reading_date 2024-02-29 volume_mcm 2144 fill_percentage 34 source_org CWC
2024-03-07,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-03-07,reading_date 2024-03-07 volume_mcm 2052 fill_percentage 33 source_org CWC
2024-03-14,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-03-14,reading_date 2024-03-14 volume_mcm 1932 fill_percentage 31 source_org CWC
2024-03-21,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-03-21,reading_date 2024-03-21 volume_mcm 1771 fill_percentage 28 source_org CWC
2024-03-28,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-03-28,reading_date 2024-03-28 volume_mcm 1654 fill_percentage 27 source_org CWC
2024-04-04,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-04-04,reading_date 2024-04-04 volume_mcm 1640 fill_percentage 26 source_org CWC
2024-04-12,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-04-12,reading_date 2024-04-12 volume_mcm 1603 fill_percentage 26 source_org CWC
2024-04-18,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-04-18,reading_date 2024-04-18 volume_mcm 1583 fill_percentage 25 source_org CWC
2024-04-25,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-04-25,reading_date 2024-04-25 volume_mcm 1555 fill_percentage 25 source_org CWC
2024-05-02,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-05-02,reading_date 2024-05-02 volume_mcm 1471 fill_percentage 24 source_org CWC
2024-05-09,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-05-09,reading_date 2024-05-09 volume_mcm 1354 fill_percentage 22 source_org CWC
2024-05-16,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-05-16,reading_date 2024-05-16 volume_mcm 1378 fill_percentage 22 source_org CWC
2024-05-22,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-05-22,reading_date 2024-05-22 volume_mcm 1484 fill_percentage 24 source_org CWC
2024-05-30,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-05-30,reading_date 2024-05-30 volume_mcm 1742 fill_percentage 28 source_org CWC
2024-06-06,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-06-06,reading_date 2024-06-06 volume_mcm 1859 fill_percentage 30 source_org CWC
2024-06-13,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-06-13,reading_date 2024-06-13 volume_mcm 1916 fill_percentage 31 source_org CWC
2024-06-20,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-06-20,reading_date 2024-06-20 volume_mcm 1951 fill_percentage 31 source_org CWC
2024-06-27,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-06-27,reading_date 2024-06-27 volume_mcm 1919 fill_percentage 31 source_org CWC
2024-07-04,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-07-04,reading_date 2024-07-04 volume_mcm 2092 fill_percentage 34 source_org CWC
2024-07-11,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-07-11,reading_date 2024-07-11 volume_mcm 2277 fill_percentage 37 source_org CWC
2024-07-18,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-07-18,reading_date 2024-07-18 volume_mcm 2295 fill_percentage 37 source_org CWC
2024-07-25,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-07-25,reading_date 2024-07-25 volume_mcm 2417 fill_percentage 39 source_org CWC
2024-08-01,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-08-01,reading_date 2024-08-01 volume_mcm 2663 fill_percentage 43 source_org CWC
2024-08-08,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-08-08,reading_date 2024-08-08 volume_mcm 2891 fill_percentage 46 source_org CWC
2024-08-16,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-08-16,reading_date 2024-08-16 volume_mcm 3343 fill_percentage 54 source_org CWC
2024-08-22,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-08-22,reading_date 2024-08-22 volume_mcm 3576 fill_percentage 57 source_org CWC
2024-08-29,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-08-29,reading_date 2024-08-29 volume_mcm 3750 fill_percentage 60 source_org CWC
2024-09-05,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-09-05,reading_date 2024-09-05 volume_mcm 3908 fill_percentage 63 source_org CWC
2024-09-12,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-09-12,reading_date 2024-09-12 volume_mcm 4086 fill_percentage 66 source_org CWC
2024-09-19,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-09-19,reading_date 2024-09-19 volume_mcm 4164 fill_percentage 67 source_org CWC
2024-09-26,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-09-26,reading_date 2024-09-26 volume_mcm 4185 fill_percentage 67 source_org CWC
2024-10-03,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-10-03,reading_date 2024-10-03 volume_mcm 4137 fill_percentage 66 source_org CWC
2024-10-10,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-10-10,reading_date 2024-10-10 volume_mcm 3982 fill_percentage 64 source_org CWC
2024-10-17,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-10-17,reading_date 2024-10-17 volume_mcm 3871 fill_percentage 62 source_org CWC
2024-10-24,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-10-24,reading_date 2024-10-24 volume_mcm 3805 fill_percentage 61 source_org CWC
2024-11-01,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-11-01,reading_date 2024-11-01 volume_mcm 3742 fill_percentage 60 source_org CWC
2024-11-07,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-11-07,reading_date 2024-11-07 volume_mcm 3694 fill_percentage 59 source_org CWC
2024-11-14,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-11-14,reading_date 2024-11-14 volume_mcm 3633 fill_percentage 58 source_org CWC
2024-11-21,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-11-21,reading_date 2024-11-21 volume_mcm 3566 fill_percentage 57 source_org CWC
2024-11-28,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-11-28,reading_date 2024-11-28 volume_mcm 3496 fill_percentage 56 source_org CWC
2024-12-05,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-12-05,reading_date 2024-12-05 volume_mcm 3378 fill_percentage 54 source_org CWC
2024-12-12,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-12-12,reading_date 2024-12-12 volume_mcm 3191 fill_percentage 51 source_org CWC
2024-12-19,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-12-19,reading_date 2024-12-19 volume_mcm 2982 fill_percentage 48 source_org CWC
2024-12-26,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2024-12-26,reading_date 2024-12-26 volume_mcm 2783 fill_percentage 45 source_org CWC
2025-01-02,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2025-01-02,reading_date 2025-01-02 volume_mcm 2696 fill_percentage 43 source_org CWC
2025-01-09,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2025-01-09,reading_date 2025-01-09 volume_mcm 2606 fill_percentage 42 source_org CWC
2025-01-16,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2025-01-16,reading_date 2025-01-16 volume_mcm 2528 fill_percentage 41 source_org CWC
2025-01-23,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2025-01-23,reading_date 2025-01-23 volume_mcm 2440 fill_percentage 39 source_org CWC
2025-01-30,Bhakra,,,,,reservoirs.earth (CWC-sourced weekly storage bulletin),https://reservoirs.earth/india/reservoirs/bhakra-gobind-sagar-in,2025-01-30,reading_date 2025-01-30 volume_mcm 2335 fill_percentage 37 source_org CWC
